140               
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
wish3	0           
stickers	0        
                  
                  
                  
                  
                  
pumpkinsCounter	0 
                  
                  
                  
wish2	0           
                  
wish1	0           
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
pumpkins	0        
                  
                  
                  
                  
                  
                  
                  
                  
                  
cookies	0         
                  
                  
                  
                  
                  
                  
                  
                  
wish4	0           
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
portrait	0        
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
schoolCounter	0   
                  
                  
                  
                  
mallCounter	1     
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
numDays	0         
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
